بيانات المنتج,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
النوع ,أسم المنتج,تصنيف المنتج,صورة المنتج,وصف صورة المنتج,نوع المنتج,سعر المنتج,الوصف,هل يتطلب شحن؟,رمز المنتج sku,سعر التكلفة,السعر المخفض,تاريخ بداية التخفيض,تاريخ نهاية التخفيض,اقصي كمية لكل عميل,إخفاء خيار تحديد الكمية,اضافة صورة عند الطلب,الوزن,وحدة الوزن,الماركة,العنوان الترويجي,تثبيت المنتج,الباركود,السعرات الحرارية,MPN,GTIN,خاضع للضريبة ؟,سبب عدم الخضوع للضريبة,[1] الاسم,[1] النوع,[1] القيمة,[1] الصورة / اللون,[2] الاسم,[2] النوع,[2] القيمة,[2] الصورة / اللون,[3] الاسم,[3] النوع,[3] القيمة,[3] الصورة / اللون
منتج,"بلسم ألترا دوكس بخلاصة زيت الخروع و اللوز المعالج من غارنييه , 360 مل",العطور,,"بلسم ألترا دوكس بخلاصة زيت الخروع و اللوز المعالج من غارنييه , 360 مل",منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,"بلسم ألترا دوكس بخلاصة زيت الخروع و اللوز المعالج من غارنييه , 360 مل |  |  - مهووس العطور",,,,,,نعم,,,,,,,,,,,,,
منتج,شنطة يد وكتف جلد نسائي من ستيفانو,العطور,,شنطة يد وكتف جلد نسائي من ستيفانو,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,شنطة يد وكتف جلد نسائي من ستيفانو |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,شنطة جلد مطفي مجعد بقاعدة مسمار نسائي من ستيفانو,العطور,,شنطة جلد مطفي مجعد بقاعدة مسمار نسائي من ستيفانو,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,شنطة جلد مطفي مجعد بقاعدة مسمار نسائي من ستيفانو |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,شنطة جلد مطفي مجعد نسائي من ستيفانو,العطور,,شنطة جلد مطفي مجعد نسائي من ستيفانو,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,شنطة جلد مطفي مجعد نسائي من ستيفانو |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,شنطة جلد مطفي مجعد ناعم نسائي بقاعدة مسمار من ستيفانو,العطور,,شنطة جلد مطفي مجعد ناعم نسائي بقاعدة مسمار من ستيفانو,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,شنطة جلد مطفي مجعد ناعم نسائي بقاعدة مسمار من ستيفانو |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عينة عطر ايروس فليم من فرزاتشي للرجال - او دو برفيوم,العطور,,عينة عطر ايروس فليم من فرزاتشي للرجال - او دو برفيوم,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,عينة عطر ايروس فليم من فرزاتشي للرجال - او دو برفيوم |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,جهاز مساج وتدليك العضلات بحجم صغير محمول بـ 6 سرعات من ريبون RE-2163,العطور,,جهاز مساج وتدليك العضلات بحجم صغير محمول بـ 6 سرعات من ريبون RE-2163,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,جهاز مساج وتدليك العضلات بحجم صغير محمول بـ 6 سرعات من ريبون RE-2163 |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,بخاخ بروتين الماكا لتنعيم واصلاح الشعر من كارسيل- 200 مل,العطور,,بخاخ بروتين الماكا لتنعيم واصلاح الشعر من كارسيل- 200 مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,بخاخ بروتين الماكا لتنعيم واصلاح الشعر من كارسيل- 200 مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,زيت جل مرطب للبشرة من جونسون برائحة الزهور المنعشة 200 مل,العطور,,زيت جل مرطب للبشرة من جونسون برائحة الزهور المنعشة 200 مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,زيت جل مرطب للبشرة من جونسون برائحة الزهور المنعشة 200 مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر وتين رقم 1513 25 مل,العطور,,عطر وتين رقم 1513 25 مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,عطر وتين رقم 1513 25 مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
